Name,Value
Protection : Fire Fighting/Fire Protection,E-O-CA----
Emergency Operation (Land Units),E-O-BA----
Law Enforcement (Land Units),E-O-DA----
Law Enforcement (Land Units) : ATF DOJ,E-O-DDA---
Law Enforcement (Land Units) : Border Patrol,E-O-DEA---
Law Enforcement (Land Units) : Customs Service,E-O-DFA---
Law Enforcement (Land Units) : DEA,E-O-DGA---
Law Enforcement (Land Units) : DOJ,E-O-DHA---
Law Enforcement (Land Units) : FBI,E-O-DIA---
Law Enforcement (Land Units) : US Secret Service (USSS),E-O-DLA---
Law Enforcement (Land Units) : TSA,E-O-DMA---
Law Enforcement (Land Units) : Coast Guard,E-O-DNA---
Law Enforcement (Land Units) : US Marshals Service,E-O-DOA---
Civilian (Land Civilian) : Individual,O-P-------
Civilian (Land Civilian) : Individual : Crime : Kidnapping (Land Civilian),O-O-K-----
Civilian (Land Civilian) : Individual : Organization : Leader or Leadership 1,O-P-A-----
Civilian (Land Civilian) : Individual : Crime : Rape (Land Civilian),O-R-------
Civilian (Land Civilian) : Individual : Organization : Targeted Individual or Organization,O-P-B-----
Civilian (Land Civilian) : Individual : Organization : Terrorist or Terrorist Organization,O-P-C-----
Civilian (Land Civilian) : Organization or Group,O-G-------
Civilian (Land Civilian) : Organization or Group,O-I-R-----
Civilian (Land Civilian) : Organization or Group : Organization : Displaced Person(s)- Refugee(s) and Evacuee(s),O-G-A-----
Civilian (Land Civilian) : Organization or Group : Organization : Foreign Fighter(s),O-G-E-----
Civilian (Land Civilian) : Organization or Group : Organization : Gang Member or Gang,O-G-F-----
Civilian (Land Civilian) : Organization or Group : Organization : Nongovernmental Organization Member or Nongovernmental Organization,O-G-B-----
Civilian (Land Civilian) : Organization or Group : Organization : Religious or Religious Organization,O-G-D-----
Civilian (Land Civilian) : Organization or Group : Organization : Targeted Individual or Organization,O-G-C-----
Civilian (Land Civilian) : Organization or Group : Crime : Loot,E-I-BD----
Civilian (Land Civilian) : Composite Loss,O-O-C-----
Civilian (Land Civilian) : Composite Loss : Composite Loss : Accident (Land Civilian),O-O-CB----
Civilian (Land Civilian) : Composite Loss : Composite Loss : Combat,O-O-CA----
