Name,Value
Command and Control Lines : Light Line,G-G-GLL---
Maneuver Lines : Forward Line of Troops : Friendly Present,G-G-GLF---
Maneuver Lines : Phase Line,G-G-GLP---
Maneuver Lines : Forward Edge of the Battle Area,G-G-DLF---
Maneuver Lines : Principal Direction of Fire,G-G-DLP---
Maneuver Lines : Direction of Attack : Friendly Aviation,G-G-OLKA--
Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack,G-G-OLKGM-
Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack,G-G-OLKGS-
Maneuver Lines : Direction of Attack : Feint,G-G-PF----
Maneuver Lines : Final Coordination Line,G-G-OLF---
Maneuver Lines : Infiltration Lane,G-G-OLI---
Maneuver Lines : Limit of Advance,G-G-OLL---
Maneuver Lines : Line of Departure,G-G-OLT---
Maneuver Lines : Line of Departure/Line of Contact,G-G-OLC---
Maneuver Lines : Probable Line of Deployment,G-G-OLP---
Maneuver Lines : Bridgehead Line,G-G-SLB---
Maneuver Lines : Holding Line,G-G-SLH---
Maneuver Lines : Release Line,G-G-SLR---
Maneuver Lines : Ambush,G-G-SLA---
Maneuver Areas : Battle Position : Contain,G-T-J-----
Maneuver Areas : Battle Position : Retain,G-T-Q-----
Maneuver Areas : Axis of Advance : Friendly Airborne/Aviation,G-G-OLAV--
Maneuver Areas : Axis of Advance : Friendly Airborne/Aviation,G-G-OLAA--
Maneuver Areas : Axis of Advance : Attack Helicopter,G-G-OLAR--
Maneuver Areas : Axis of Advance : Main Attack,G-G-OLAGM-
Maneuver Areas : Axis of Advance : Supporting Attack,G-G-OLAGS-
Maneuver Areas : Axis of Advance : Feint,G-G-PA----
Maneuver Areas : Attack by Fire Position,G-G-OAF---
Maneuver Areas : Support by Fire,G-G-OAS---
Maneuver Areas : Search Area/Reconnaissance Area,G-G-GAS---
Air Corridors : Air Corridor,G-G-ALC---
Air Corridors : Low Level Transit Route,G-G-ALL---
Air Corridors : Minimum-Risk Route,G-G-ALM---
Air Corridors : Standard Use Army Aircraft Flight Route,G-G-ALS---
Air Corridors : Unmanned Aircraft (UA) Route,G-G-ALU---
Maritime Points : Navigational,G-O-HN----
Maritime Lines : Bearing Line,G-O-B-----
Maritime Lines : Bearing Line : Electronic,G-O-BE----
Maritime Lines : Bearing Line : Acoustic,G-O-BA----
Maritime Lines : Bearing Line : Torpedo,G-O-BT----
Maritime Lines : Bearing Line : Electro-Optical Intercept,G-O-BO----
Deception : Decoy/Dummy,G-G-PD----
Fires Areas : Linear Targets : Linear Target,G-F-LT----
Fires Areas : Linear Targets : Linear Smoke Target,G-F-LTS---
Fires Areas : Linear Targets : Final Protective Fire (FPF),G-F-LTF---
Fire Lines : Fire Support Coordination Line (FSCL),G-F-LCF---
Fire Lines : Coordinated Fire Line (CFL),G-F-LCC---
Fire Lines : No Fire Line,G-F-LCN---
Fire Lines : Restrictive Fire Line,G-F-LCR---
Fire Lines : Munition Flight Path,G-F-LCM---
Protection Areas : Obstacle Effects : Block,G-M-OEB---
Protection Areas : Obstacle Effects : Disrupt,G-M-OED---
Protection Areas : Obstacle Effects : Fix,G-M-OEF---
Protection Areas : Obstacle Effects : Turn,G-M-OET---
Protection Areas : Obstacle Bypass : Easy,G-M-BDE---
