Name,Value
Military Combatant,S-S-C-----
Military Combatant : Hovercraft,S-S-CH----
Military Combatant : Carrier,S-S-CLCV--
Military Combatant : Surface Combatant- Line,S-S-CL----
Military Combatant : Surface Combatant- Line : Battleship,S-S-CLBB--
Military Combatant : Surface Combatant- Line : Cruiser,S-S-CLCC--
Military Combatant : Surface Combatant- Line : Destroyer,S-S-CLDD--
Military Combatant : Surface Combatant- Line : Frigate,S-S-CLFF--
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Original,S-S-CLLL--
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Mission Area : Antisubmarine Warfare (Sea Surface),S-S-CLLLAS
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Mission Area : Mine Warfare (Sea Surface),S-S-CLLLMI
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Mission Area : Surface Warfare (Sea Surface),S-S-CLLLSU
Military Combatant : Amphibious Warfare Ship,S-S-CA----
Military Combatant : Amphibious Warfare Ship : Assault- Non-specified,S-S-CALA--
Military Combatant : Amphibious Warfare Ship : Landing Ship,S-S-CALS--
Military Combatant : Amphibious Warfare Ship : Landing Ship : Ship Capacity : Medium,S-S-CALSM-
Military Combatant : Amphibious Warfare Ship : Landing Ship : Cargo Capacity : Tank,S-S-CALST-
Military Combatant : Amphibious Warfare Ship : Landing Craft,S-S-CALC--
Military Combatant : Mine Warfare Ship,S-S-CM----
Military Combatant : Mine Warfare Ship : Mine Layer,S-S-CMML--
Military Combatant : Mine Warfare Ship : Mine Sweeper,S-S-CMMS--
Military Combatant : Mine Warfare Ship : Mine Hunter,S-S-CMMH--
Military Combatant : Mine Warfare Ship : Mine Countermeasures- Support Ship : Original,S-S-CMMA--
Military Combatant : Patrol Boat,S-S-CP----
Military Combatant : Patrol Boat : USV Control : Autonomous Control,S-S-CPSU--
Military Combatant : Patrol Boat : Antiship Missile,S-S-CPSUM-
Military Combatant : Patrol Boat : Weapons Capability : Torpedo,S-S-CPSUT-
Military Combatant : Patrol Boat : Patrol Craft- Submarine Chaser/Escort- General,S-S-CPSB--
Military Combatant : Patrol Boat : Patrol Ship- General,S-S-CPSUG-
Military Combatant : Decoy : Original,S-S-CD----
Military Combatant : Unmanned Surface Water Vehicle (USV),S-S-CU----
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Antisubmarine Warfare (Sea Surface),S-S-CUS---
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Mine Countermeasures (Sea Surface),S-S-CUM---
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Remote Multi-Mission Vehicle (USV-only),S-S-CUR---
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Surface Warfare (Sea Surface),S-S-CUN---
Military Combatant : Navy Task Organization,S-S-G-----
Military Combatant : Navy Task Organization : Navy Task Force : Original,S-S-GT----
Military Combatant : Navy Task Organization : Navy Task Group : Original,S-S-GG----
Military Combatant : Navy Task Organization : Navy Task Unit : Original,S-S-GU----
Military Combatant : Navy Task Organization : Convoy,S-S-GC----
Military Noncombatant,S-S-N-----
Military Noncombatant : Auxiliary Ship : Intelligence Collector : Original,S-S-NI----
Military Noncombatant : Auxiliary Ship : Hospital Ship,S-S-NM----
Military Noncombatant : Auxiliary Ship : Repair Ship,S-S-NR----
Military Noncombatant : Auxiliary Ship : Submarine Tender,S-S-NF----
Military Noncombatant : Service Craft/Yard : Original,S-S-NS----
Military Noncombatant : Hovercraft,S-S-NH----
Civilian (Sea Surface) : Merchant Ship,S-S-XM----
Civilian (Sea Surface) : Merchant Ship : Cargo- General : Original,S-S-XMC---
Civilian (Sea Surface) : Merchant Ship : Roll On/Roll Off : Original,S-S-XMR---
Civilian (Sea Surface) : Merchant Ship : Ferry : Original,S-S-XMF---
Civilian (Sea Surface) : Merchant Ship : Hovercraft : Original,S-S-XH----
Civilian (Sea Surface) : Merchant Ship : Oiler/Tanker : Original,S-S-XMO---
Civilian (Sea Surface) : Merchant Ship : Passenger : Original,S-S-XMP---
Civilian (Sea Surface) : Merchant Ship : Tug- Ocean Going : Original,S-S-XMTU--
Civilian (Sea Surface) : Merchant Ship : Tow,S-S-XMTO--
Civilian (Sea Surface) : Merchant Ship : Transport Ship- Hazardous Material,S-S-XMH---
Civilian (Sea Surface) : Fishing Vessel,S-S-XF----
Civilian (Sea Surface) : Fishing Vessel : Drifter,S-S-XFDF--
Civilian (Sea Surface) : Fishing Vessel : Trawler,S-S-XFTR--
Civilian (Sea Surface) : Fishing Vessel : Dredger,S-S-XFDR--
Civilian (Sea Surface) : Law Enforcement Vessel,S-S-XL----
Civilian (Sea Surface) : Leisure Craft- Sailing,S-S-XR----
Civilian (Sea Surface) : Leisure Craft- Motorized,S-S-XA----
Civilian (Sea Surface) : Leisure Craft- Motorized : Rigid-Hull Inflatable Boat,S-S-XAR---
Civilian (Sea Surface) : Leisure Craft- Motorized : Speedboat,S-S-XAS---
Civilian (Sea Surface) : Jet Ski,S-S-XP----
Own Ship : Original,S-S-O-----
Military Combatant : Station,S-S-S-----
Military Combatant : Station : Picket,S-S-SP----
Military Combatant : Station : ASW : Ship,S-S-SA----
Military Noncombatant : Station,S-S-NN----
Military Noncombatant : Station : Rescue,S-S-NNR---
