Name,Value
Installation : Aircraft Production/Assembly,S-G-IMA---
Installation : Ammunition and Explosives/Assembly,S-G-IME---
Installation : Armament Production,S-G-IMG---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN),S-G-IRN---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Biological,S-G-IRNB--
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Chemical,S-G-IRNC--
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Nuclear,S-G-IRNN--
Installation : Processing Facility,S-G-IP----
Installation : Processing Facility : Decontamination,S-G-IPD---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : No Category Listed : Biological,S-G-IMC---
Installation : Engineering Equipment Production,S-G-IMN---
Installation : Engineering Equipment Production : Bridge,S-G-IMNB--
Installation : Equipment Manufacture,S-G-IE----
Installation : Utility,S-G-IU----
Installation : Utility : Research,S-G-IUR---
Installation : Utility : TELECOM,S-G-IUT---
Installation : Government Leadership,S-G-IG----
Installation : Raw Material,S-G-IR----
Installation : Mine,S-G-IRM---
Installation : Missile and Space System Production,S-G-IMM---
Installation : Nuclear (Non CBRN Defense),S-G-IMF---
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Atomic Energy Reactor,S-G-IMFA--
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Nuclear Material Production,S-G-IMFP--
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Nuclear Material Storage,S-G-IMFS--
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Weapons Grade,S-G-IMFPW-
Infrastructure : Energy Facility,S-G-IUE---
Infrastructure : Energy Facility : Electric Power : CBRN Type : Nuclear,S-G-IUEN--
Infrastructure : Energy Facility : Electric Power : Dam,S-G-IUED--
Infrastructure : Energy Facility : Electric Power : Fossil Fuel,S-G-IUEF--
Infrastructure : Energy Facility : Petroleum/Gas/Oil,S-G-IRP---
Infrastructure : Medical : Medical,S-G-IX----
Infrastructure : Medical : Medical Treatment Facility (Hospital),S-G-IXH---
Infrastructure : Military : Military Base,S-G-IB----
Infrastructure : Transportation,S-G-IT----
Infrastructure : Transportation : Airport/Air Base,S-G-IBA---
Infrastructure : Transportation : Maintenance Facility,S-G-IMV---
Infrastructure : Transportation : Sea Port/Naval Base : Original,S-G-IBN---
Infrastructure : Transportation : Ship Yard : Original,S-G-IMS---
Infrastructure : Water Supply : Water,S-G-IUP---
