Name,Value
Weapon/Weapon System : Rifle,S-G-EWR---
Weapon/Weapon System : Rifle : Single Shot Rifle,S-G-EWRR--
Weapon/Weapon System : Rifle : Semiautomatic Rifle,S-G-EWRL--
Weapon/Weapon System : Rifle : Automatic Rifle,S-G-EWRH--
Weapon/Weapon System : Grenade Launcher,S-G-EWZ---
Weapon/Weapon System : Grenade Launcher : Light,S-G-EWZL--
Weapon/Weapon System : Grenade Launcher : Medium,S-G-EWZM--
Weapon/Weapon System : Grenade Launcher : Heavy,S-G-EWZH--
Weapon/Weapon System : Flame Thrower,S-G-EXF---
Weapon/Weapon System : Air Defense Gun,S-G-EWA---
Weapon/Weapon System : Air Defense Gun : Light,S-G-EWAL--
Weapon/Weapon System : Air Defense Gun : Medium,S-G-EWAM--
Weapon/Weapon System : Air Defense Gun : Heavy,S-G-EWAH--
Weapon/Weapon System : Antitank Gun,S-G-EWG---
Weapon/Weapon System : Antitank Gun : Light,S-G-EWGL--
Weapon/Weapon System : Antitank Gun : Medium,S-G-EWGM--
Weapon/Weapon System : Antitank Gun : Heavy,S-G-EWGH--
Weapon/Weapon System : Direct Fire Gun,S-G-EWD---
Weapon/Weapon System : Direct Fire Gun : Light,S-G-EWDL--
Weapon/Weapon System : Direct Fire Gun : Self Propelled : Light,S-G-EWDLS-
Weapon/Weapon System : Direct Fire Gun : Medium,S-G-EWDM--
Weapon/Weapon System : Direct Fire Gun : Self Propelled : Medium,S-G-EWDMS-
Weapon/Weapon System : Direct Fire Gun : Heavy,S-G-EWDH--
Weapon/Weapon System : Direct Fire Gun : Self Propelled : Heavy,S-G-EWDHS-
Weapon/Weapon System : Recoilless Gun,S-G-EWGR--
Weapon/Weapon System : Howitzer,S-G-EWH---
Weapon/Weapon System : Howitzer : Light,S-G-EWHL--
Weapon/Weapon System : Howitzer : Self Propelled : Light,S-G-EWHLS-
Weapon/Weapon System : Howitzer : Medium,S-G-EWHM--
Weapon/Weapon System : Howitzer : Self Propelled : Medium,S-G-EWHMS-
Weapon/Weapon System : Howitzer : Heavy,S-G-EWHH--
