Name,Value
Command and Control : Civil Affairs,S-F-GC----
Command and Control : Military Information Support (MISO),S-F-GP----
Command and Control : Signal,S-G-UUS---
Command and Control : Signal : Capability : Area,S-G-UUSA--
Command and Control : Signal : Capability : Communications Contingency Package,S-G-UUSC--
Command and Control : Signal : LCCP,S-G-UUSCL-
Command and Control : Signal : Capability : Operations,S-G-UUSO--
Command and Control : Signal : Capability : Forward,S-G-UUSF--
Command and Control : Signal : Capability : Mobile Subscriber Equipment,S-G-UUSM--
Command and Control : Signal : Capability : Large Extension Node,S-G-UUSML-
Command and Control : Signal : Capability : Node Center,S-G-UUSMN-
Command and Control : Signal : Small Extension Node,S-G-UUSMS-
Command and Control : Signal : Capability : Support 1,S-G-UUSS--
Command and Control : Signal : Telephone Switch,S-G-UUSW--
Command and Control : Signal : Radio,S-G-UUSR--
Command and Control : Signal : Radio Relay : Original,S-G-UUSRW-
Command and Control : Signal : Teletype,S-G-UUSRT-
Command and Control : Signal : Tactical Satellite,S-G-UUSRS-
Movement and Maneuver : Amphibious : Capability : Landing Support,S-G-UUP---
Movement and Maneuver : Antitank/Antiarmor,S-G-UCAA--
Movement and Maneuver : Antitank/Antiarmor,S-G-UCAAD-
Movement and Maneuver : Antitank/Antiarmor : Capability : Light,S-G-UCAAL-
Movement and Maneuver : Antitank/Antiarmor : Mobility : Airborne,S-G-UCAAM-
Movement and Maneuver : Antitank/Antiarmor : Mobility : Air Mobile/Air Assault (US Only),S-G-UCAAS-
Movement and Maneuver : Antitank/Antiarmor : Capability : Mountain,S-G-UCAAU-
Movement and Maneuver : Antitank/Antiarmor : Mobility : Arctic,S-G-UCAAC-
Movement and Maneuver : Antitank/Antiarmor : Armored,S-G-UCAAA-
Movement and Maneuver : Antitank/Antiarmor : Armored,S-G-UCAAAT
Movement and Maneuver : Antitank/Antiarmor : Armored : Mobility : Air Mobile/Air Assault (US Only),S-G-UCAAAS
Movement and Maneuver : Antitank/Antiarmor : Armored : Mobility : Wheeled,S-G-UCAAAW
Movement and Maneuver : Antitank/Antiarmor : Motorized,S-G-UCAAO-
Movement and Maneuver : Antitank/Antiarmor : Motorized : Mobility : Air Mobile/Air Assault (US Only),S-G-UCAAOS
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked,S-G-UCAT--
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked,S-G-UCA---
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Light,S-G-UCATL-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Medium,S-G-UCATM-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Heavy,S-G-UCATH-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Mobility : Airborne,S-G-UCATA-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Recovery (Maintenance),S-G-UCATR-
