EntityCode,ID,Category,Name,Tags
25140500,11247,Control Measure : Line,Maneuver Lines : Principal Direction of Fire,Control Measure;Maneuver Lines;Principal Direction of Fire;gct_two_line;G*GPDLP---****X;MAIN;Line;Maneuver Lines : Principal Direction of Fire;25140500
25140601,11230,Control Measure : Line,Maneuver Lines : Direction of Attack : Friendly Aviation,Control Measure;Maneuver Lines;Direction of Attack;Friendly Aviation;gct_arrow;G*GPOLKA--****X;MAIN;Line;Maneuver Lines : Direction of Attack : Friendly Aviation;25140601
25140602,11231,Control Measure : Line,Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack,Control Measure;Maneuver Lines;Direction of Attack;Friendly Direction of Main Attack;gct_arrow;G*GPOLKGM-****X;MAIN;Line;Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack;25140602
25140603,11232,Control Measure : Line,Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack,Control Measure;Maneuver Lines;Direction of Attack;Friendly Direction of Supporting Attack;gct_arrow;G*GPOLKGS-****X;MAIN;Line;Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack;25140603
25140604,11233,Control Measure : Line,Maneuver Lines : Direction of Attack : Friendly Planned or On Order,Control Measure;Maneuver Lines;Direction of Attack;Friendly Planned or On Order;gct_arrow;NEW_AT_2525D;MAIN;Line;Maneuver Lines : Direction of Attack : Friendly Planned or On Order;25140604
25140605,11229,Control Measure : Line,Maneuver Lines : Direction of Attack : Feint,Control Measure;Maneuver Lines;Direction of Attack;Feint;gct_arrow;G*GPPF----****X;MAIN;Line;Maneuver Lines : Direction of Attack : Feint;25140605
25140606,8912,Control Measure : Line,Maneuver Lines : Direction of Attack : Enemy Confirmed,Control Measure;Maneuver Lines;Direction of Attack;Enemy Confirmed;gct_arrow;NEW_AT_2525D;MAIN;Line;Maneuver Lines : Direction of Attack : Enemy Confirmed;25140606
25140606,11227,Control Measure : Line,Maneuver Lines : Direction of Attack : Enemy Confirmed,Control Measure;Maneuver Lines;Direction of Attack;Enemy Confirmed;gct_arrow;NEW_AT_2525D;MAIN;Line;Maneuver Lines : Direction of Attack : Enemy Confirmed;25140606
25140607,8913,Control Measure : Line,Maneuver Lines : Direction of Attack : Enemy Templated or Suspected,Control Measure;Maneuver Lines;Direction of Attack;Enemy Templated or Suspected;gct_arrow;NEW_AT_2525D;MAIN;Line;Maneuver Lines : Direction of Attack : Enemy Templated or Suspected;25140607
25140607,11228,Control Measure : Line,Maneuver Lines : Direction of Attack : Enemy Templated or Suspected,Control Measure;Maneuver Lines;Direction of Attack;Enemy Templated or Suspected;gct_arrow;NEW_AT_2525D;MAIN;Line;Maneuver Lines : Direction of Attack : Enemy Templated or Suspected;25140607
