filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Dismounted\27110101.svg,64,Military : Service Branch : Infantry,Dismounted Individual : Main Icon,Dismounted Individual;Military;Service Branch;Infantry;NEW_AT_2525D;FULL_OCTAGON;Point;Military : Service Branch : Infantry;27110101,27110101,Point,
{Symbols_Root}\Appendices\Dismounted\27110102.svg,64,Military : Service Branch : Medical,Dismounted Individual : Main Icon,Dismounted Individual;Military;Service Branch;Medical;NEW_AT_2525D;FULL_OCTAGON;Point;Military : Service Branch : Medical;27110102,27110102,Point,
{Symbols_Root}\Appendices\Dismounted\27110103.svg,64,Military : Service Branch : Reconnaissance,Dismounted Individual : Main Icon,Dismounted Individual;Military;Service Branch;Reconnaissance;NEW_AT_2525D;FULL_OCTAGON;Point;Military : Service Branch : Reconnaissance;27110103,27110103,Point,
{Symbols_Root}\Appendices\Dismounted\27110104.svg,64,Military : Service Branch : Signal,Dismounted Individual : Main Icon,Dismounted Individual;Military;Service Branch;Signal;NEW_AT_2525D;FULL_OCTAGON;Point;Military : Service Branch : Signal;27110104,27110104,Point,
{Symbols_Root}\Appendices\Dismounted\27110201.svg,64,Military : Activity/Task : Explosive Ordnance Disposal,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Explosive Ordnance Disposal;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Explosive Ordnance Disposal;27110201,27110201,Point,
{Symbols_Root}\Appendices\Dismounted\27110202.svg,64,Military : Activity/Task : Field Artillery Observer,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Field Artillery Observer;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Field Artillery Observer;27110202,27110202,Point,
{Symbols_Root}\Appendices\Dismounted\27110203.svg,64,Military : Activity/Task : Joint Fire Support,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Joint Fire Support;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Joint Fire Support;27110203,27110203,Point,
{Symbols_Root}\Appendices\Dismounted\27110204.svg,64,Military : Activity/Task : Liaison,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Liaison;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Liaison;27110204,27110204,Point,
{Symbols_Root}\Appendices\Dismounted\27110205.svg,64,Military : Activity/Task : Messenger,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Messenger;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Messenger;27110205,27110205,Point,
{Symbols_Root}\Appendices\Dismounted\27110206.svg,64,Military : Activity/Task : Military Police,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Military Police;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Military Police;27110206,27110206,Point,
{Symbols_Root}\Appendices\Dismounted\27110207.svg,64,Military : Activity/Task : Observer,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Observer;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Observer;27110207,27110207,Point,
{Symbols_Root}\Appendices\Dismounted\27110208.svg,64,Military : Activity/Task : Security,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Security;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Security;27110208,27110208,Point,
{Symbols_Root}\Appendices\Dismounted\27110209.svg,64,Military : Activity/Task : Sniper,Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Sniper;NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Sniper;27110209,27110209,Point,
{Symbols_Root}\Appendices\Dismounted\27110210.svg,64,Military : Activity/Task : Special Operations Forces (SOF),Dismounted Individual : Main Icon,Dismounted Individual;Military;Activity/Task;Special Operations Forces (SOF);NEW_AT_2525D;MAIN;Point;Military : Activity/Task : Special Operations Forces (SOF);27110210,27110210,Point,
{Symbols_Root}\Appendices\Dismounted\27110301.svg,64,Military : Lethal Weapons : Rifle,Dismounted Individual : Main Icon,Dismounted Individual;Military;Lethal Weapons;Rifle;NEW_AT_2525D;MAIN;Point;Military : Lethal Weapons : Rifle;27110301,27110301,Point,
{Symbols_Root}\Appendices\Dismounted\27110302.svg,64,Military : Lethal Weapons : Single-Shot Rifle,Dismounted Individual : Main Icon,Dismounted Individual;Military;Lethal Weapons;Single-Shot Rifle;NEW_AT_2525D;MAIN;Point;Military : Lethal Weapons : Single-Shot Rifle;27110302,27110302,Point,
{Symbols_Root}\Appendices\Dismounted\27110303.svg,64,Military : Lethal Weapons : Semiautomatic Rifle,Dismounted Individual : Main Icon,Dismounted Individual;Military;Lethal Weapons;Semiautomatic Rifle;NEW_AT_2525D;MAIN;Point;Military : Lethal Weapons : Semiautomatic Rifle;27110303,27110303,Point,
